id,title,claim,url,domain,news_date,true/false,published_paper_urls,published_paper_title,published_paper_authors,published_paper_abstract,published_paper_venue,published_paper_year,GPT_Response_1,GPT_Response_2,GPT_Response_3,GPT_Response_consensus
50,Targeting cancer cells with resonant frequencies has not been shown to â€˜cureâ€™ cancer,Social media claims that research by American inventor Royal Raymond Rife in the 1920s and 1930s -- as well as modern techniques that use targeted low-frequency energy -- represent a workable cancer â€œcureâ€ are missing the context that none of these approaches has ever been demonstrated to cure a person or animal of cancer.,https://www.reuters.com/news/article/factcheck-cancer-resonant-frequencies/fact-check-targeting-cancer-cells-with-resonant-frequencies-has-not-been-shown-to-cure-cancer-idUSL1N3012LG,Health,26-Aug-22,TRUE,https://www.tandfonline.com/doi/full/10.3109/21678421.2013.850802,ALSUntangled No. 23: The Rife Machine and retroviruses,The ALSUntangled Group,"In the 1920s and 1930s, Royal Raymond Rife developed special microscopes. Using these he claimed he could visualize living microorganisms, including viruses too small to be seen with any other existing technology, via the color of auras emitted as they vibrated (Citation1). In a 1961 deposition he explained this as follows: â€œA special risley prism which works on a counter rotation principle selects a portion of the light frequency which illuminates these viruses in their own characteristic chemical colors by emission of coordinative light frequency and the viruses become readily identifiable by the colors revealed on observation.â€ (Citation2). Several of his microscopes still exist. Their principles and alleged function have never been validated, and they have never been adopted for use. Rife went on to postulate that the microorganisms he was seeing were involved in human diseases, including cancer (Citation3â€“6). He invented a machine that he claimed could transmit radio frequency energy into a person and vibrate these microorganisms at a â€œmortal oscillatory rateâ€, thereby killing them and improving the disease they were causing (Citation3â€“6). Rife's claims were based upon his microscopic evaluations, which again do not appear to be legitimate. The very concept that diseases can be cured by radio frequency energy, originally proposed by Albert Abrams and referred to as â€˜radionicsâ€™ (Citation7), was later investigated and disproven by the Scientific American (Citation7,Citation8). Nonetheless, there remain those who believe in Rife's work, claim it was suppressed as part of an elaborate conspiracy (Citation9) and continue to sell similar energy-transmitting devices (Citation10â€“12). Here, on behalf of PALS who asked about it, we review the potential use of the Rife Machine for ALS.",Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2013,SUPPORT,CONTRADICT,CONTRADICT,CONTRADICT
132,Updated CDC guidance on monkeypox transmission still includes â€˜respiratory transmissionâ€™,"Social media posts flagging a shift in language about how monkeypox spreads by the U.S. Centers for Disease Control and Prevention (CDC) as evidence of â€œliesâ€ by the agency are missing the context that in the current monkeypox outbreak, respiratory transmission has been a less important route than was seen in the past.",https://www.reuters.com/news/article/factcheck-monkeypox-airborne-respiratory/fact-check-updated-cdc-guidance-on-monkeypox-transmission-still-includes-respiratory-transmission-idUSL1N2ZH1VA,Health,5-Aug-22,TRUE,https://www.pnas.org/doi/10.1073/pnas.0706849105,Modeling targeted layered containment of an influenza pandemic in the United States,"M. Elizabeth Halloran, Neil M. Ferguson, Stephen Eubank, and Philip Cooley","Planning a response to an outbreak of a pandemic strain of influenza is a high public health priority. Three research groups using different individual-based, stochastic simulation models have examined the consequences of intervention strategies chosen in consultation with U.S. public health workers. The first goal is to simulate the effectiveness of a set of potentially feasible intervention strategies. Combinations called targeted layered containment (TLC) of influenza antiviral treatment and prophylaxis and nonpharmaceutical interventions of quarantine, isolation, school closure, community social distancing, and workplace social distancing are considered. The second goal is to examine the robustness of the results to model assumptions. The comparisons focus on a pandemic outbreak in a population similar to that of Chicago, with â‰ˆ8.6 million people. The simulations suggest that at the expected transmissibility of a pandemic strain, timely implementation of a combination of targeted household antiviral prophylaxis, and social distancing measures could substantially lower the illness attack rate before a highly efficacious vaccine could become available. Timely initiation of measures and school closure play important roles. Because of the current lack of data on which to base such models, further field research is recommended to learn more about the sources of transmission and the effectiveness of social distancing measures in reducing influenza transmission.",PNAS,2008,CONTRADICT,SUPPORT,NEI,CONTRADICT
145,"U.S. carrots are not â€˜soakedâ€™ in bleach, chlorpropham is never used","A widely viewed social media post warning that baby-cut carrots are â€œsoaked inâ€ bleach and a cancer-â€œaggravatingâ€ chemical to extend shelf life is misleading. The chemical chlorpropham, sold under various brand names, including Bud Nip, is not used on carrot crops or on stored carrots in the United States and is banned from any food uses in the European Union.",https://www.reuters.com/news/article/factcheck-carrots-sprout-inhibitor/fact-check-u-s-carrots-are-not-soaked-in-bleach-chlorpropham-is-never-used-idUSL1N2ZD1Q5,Health,2-Aug-22,TRUE,https://link.springer.com/article/10.1007/s13197-015-1980-3,Sprout suppression on potato: need to look beyond CIPC for more effective and safer alternatives,"Vijay Paul, R. Ezekiel & Rakesh Pandey","World over, potatoes are being stored at 8â€“12 Â°C (85â€“90 % RH). This is the most common way of long-term (up to 6 to 9 months) storage of potatoes. The benefit of storing the potatoes within the temperature range of 8â€“12 Â°C is minimum accumulation of sugars in stored potato tubers. In sub-temperate, sub-tropical and tropical countries of the world, short-term (3 to 4 months) storage of potatoes is being done by non-refrigerated traditional/on-farm methods. These short- and long-term storage methods keep the stored potatoes suitable not only for table purpose but also for processing. However, once the natural dormancy period of potato is over, the prevailing temperatures in these storage methods favour sprouting and sprout growth. Therefore, use of some sprout suppressant to check the sprout growth becomes essential under these methods of potato storage. CIPC [Isopropyl N-(3-chlorophenyl) carbamate] is the most wide spread and commonly used sprout suppressant on potatoes. CIPC has been in use for more than 50 years and research carried out over such a long period use of CIPC has not only enhanced our understanding of its properties and chemistry but also about the production and toxicological status of its metabolites/degradation products. Today, various safety issues and concerns have surfaced primarily due to continuous and long-term use of CIPC. This review presents an appraisal on CIPC and explains the reasons for the long-time dependence on this chemical as a potato sprout suppressant. Issues like maximum residue limit and acceptable daily intake limit are being discussed for CIPC. This article brings an update on practical aspects of potato storage, residue levels of CIPC, efficacy of CIPC as sprout suppressant and health and environmental safety issues linked with CIPC and its metabolites. The aim of this article is to find possible solutions, way outs and future plans that can make the sprout suppression of potatoes safer and more risk free.",Journal of Food Science and Technology,2015,CONTRADICT,NEI,CONTRADICT,CONTRADICT
154,New Florida scheme allows veterans â€“ not their spouses â€“ to a temporary teaching certificate without having completed a college degree,"A story online about the wife of a veteran who was able to get a teaching certificate just by observing teachers for 12 hours misrepresents the stateâ€™s requirements; spouses of veterans must meet all the normal requirements for a teaching certificate, including a college degree, however they can apply to have the $75 certificate application fee waived. A separate scheme called the Military Veteran Certification Pathway allows veterans, but not their spouses, with at least 60 college credits to apply for a temporary teaching certificate. However, they also must fulfill the requirements for a professional certificate, such as obtaining a Bachelorâ€™s degree, within five years.",https://www.reuters.com/news/article/factcheck-florida-teachers/fact-check-new-florida-scheme-allows-veterans-not-their-spouses-to-a-temporary-teaching-certificate-without-having-completed-a-college-degree-idUSL1N2ZA22W,Society,29-Jul-22,TRUE,https://www.floridasmart.com/articles/florida-public-school-calendars,Florida Public School Calendars â€“ All Districts Start Dates and More,Patti,"As a parent, the question we ask toward the end of summer is, â€œwhen do you go back to school?â€ So here is a simple listing of the biggest dates for each school district to help you out. This Florida School Calendar shows the major days off of school and does not include teacher workdays or minor holidays.",Florida Smart,2023,CONTRADICT,NEI,CONTRADICT,CONTRADICT
170,"Evidence shows sun exposure, not diet, causes skin cancers","Social media posts claiming that sun exposure does not cause skin cancer, but poor diet does, contradict the large body of evidence showing that ultraviolet (UV) radiation from the sun does have a direct carcinogenic effect on cells in the skin and is a leading cause of skin cancers.",https://www.reuters.com/news/article/factcheck-sunlight-skin-cancer/fact-check-evidence-shows-sun-exposure-not-diet-causes-skin-cancers-idUSL1N2Z61QQ,Health,25-Jul-22,TRUE,https://link.springer.com/chapter/10.1007/978-3-030-46227-7_6,Epidemiology of Skin Cancer: Update 2019,"Ulrike Leiter, Ulrike Keim & Claus Garbe","Melanoma and keratinocyte skin cancer (KSC) are the most common types of cancer in White-skinned populations. Both tumor entities showed increasing incidence rates worldwide but stable or decreasing mortality rates. Rising incidence rates of cutaneous melanoma (CM) and KSC are largely attributed to increasing exposure to ultraviolet (UV) radiation, the main causal risk factor for skin cancer. Incidence rates of KSC, comprising of basal cell carcinoma (BCC) and squamous cell carcinoma (SCC), are much higher than that of melanoma. BCC development is mainly the cause of an intensive UV exposure in childhood and adolescence, while SCC development is related to chronic, cumulative UV exposure over decades. Although mortality is relatively low, KSC is an increasing problem for health care services causing significant morbidity. Cutaneous melanoma is rapidly increasing in White populations, with an estimated annual increase of around 3â€“7% over the past decades. In contrast to SCC, melanoma risk is associated with intermittent and chronic exposure to sunlight. The frequency of its occurrence is closely associated with the constitutive color of the skin and the geographical zone. Changes in outdoor activities and exposure to sunlight during the past 70 years are an important factor for the increasing incidence of melanoma. Mortality rates of melanoma show stabilization in the USA, Australia, and in European countries. In the USA even dropping numbers of death cases were recently reported, probably reflecting efficacy of the new systemic treatments. Among younger cohorts in some populations (e.g., Australia and New Zealand,), stabilizing or declining incidence rates of CM are observed, potentially caused by primary prevention campaigns aimed at reducing UV exposure. In contrast, incidence rates of CM are still rising in most European countries and in the USA. Ongoing trends towards thinner melanoma are largely ascribed to earlier detection.",Advances in Experimental Medicine and Biology,2020,CONTRADICT,CONTRADICT,CONTRADICT,CONTRADICT
193,"Face masks generally block microplastics from entering peopleâ€™s lungs, but not completely","A screenshot of a 2022 article about microplastics being found in the lungs has been shared by social media users to suggest facial coverings worn during the COVID-19 pandemic are to blame. Experts told Reuters that while it is true that some masks could shed microplastics, it is unknown whether there is a risk posed to humans. Moreover, the article being cited does not mentioned face masks and one of the studies mentioned began data collection prior to the pandemic. Some face coverings can help reduce the inhalation of non-mask microplastics, and it is widely agreed that the risks outweigh the benefits of protecting people against COVID-19.",https://www.reuters.com/news/article/factcheck-microplastics-masks/fact-check-face-masks-generally-block-microplastics-from-entering-peoples-lungs-but-not-completely-idUSL1N2Z10IA,Health,20-Jul-22,TRUE,https://www.sciencedirect.com/science/article/pii/S0304389420329460,COVID-19: Performance study of microplastic inhalation risk posed by wearing masks,"Lu Li, Xiaoli Zhao, Zhouyang Li, Kang Song","Wearing face masks has become the new normal worldwide due to the global spread of the coronavirus disease 2019. The inhalation of microplastics due to the wearing of masks has rarely been reported. The present study used different types of commonly used masks to conduct breathing simulation experiments and investigate microplastic inhalation risk. Microplastic inhalation caused by reusing masks that underwent various treatment processes was also tested. Results implied that wearing masks considerably reduces the inhalation risk of particles (e.g., granular microplastics and unknown particles) even when they are worn continuously for 720 h. Surgical, cotton, fashion, and activated carbon masks wearing pose higher fiber-like microplastic inhalation risk, while all masks generally reduced exposure when used under their supposed time (<4 h). N95 poses less fiber-like microplastic inhalation risk. Reusing masks after they underwent different disinfection pretreatment processes can increase the risk of particle (e.g., granular microplastics) and fiber-like microplastic inhalation. Ultraviolet disinfection exerts a relatively weak effect on fiber-like microplastic inhalation, and thus, it can be recommended as a treatment process for reusing masks if proven effective from microbiological standpoint. Wearing an N95 mask reduces the inhalation risk of spherical-type microplastics by 25.5 times compared with not wearing a mask.",Journal of Hazardous Materials,2021,CONTRADICT,NEI,CONTRADICT,CONTRADICT
212,"Israeli study finds drop in sperm count after Pfizer vaccine is temporary, no sign of sperm damage","A June study published in the journal Andrology shows a transient drop of about 15% in sperm count among 37 Israeli sperm donors in the months following a second dose of the Pfizer/BioNTech COVID-19 vaccine. The study authors attribute the effect to fever, a common vaccine side effect, and note that sperm counts were returning to pre-vaccine levels after 145 days.",https://www.reuters.com/news/article/factcheck-israel-sperm/fact-check-israeli-study-finds-drop-in-sperm-count-after-pfizer-vaccine-is-temporary-no-sign-of-sperm-damage-idUSL1N2YU17F,Health,13-Jul-22,TRUE,https://doi.org/10.1007/s43032-022-00889-z,An Assessment of Men Semen Alterations in SARS-CoV-2: Is Fever the Principal Concern?,"Mohamed Hadi Mohamed Abdelhamid, Abdulmunam A. Fellah, Ahmed Elmarghani & Iman Amin Al msellati","The SARS-CoV-2 virus (COVID-19) was identified as a pandemic in March 2020 by the World Health Organization. The virus spreads primarily through saliva droplets or nasal discharges, in addition to coughing or sneezing from an infected person. The most common symptom at the onset of illness is fever, which may appear within 2â€“14 days after exposure. The high fever (above 38 Â°C) can persist from one to 4 days. The febrile illness usually has a variable negative impact on sperm characteristics such as sperm output, motility, morphology, and DNA fragmentation. These defects proliferated due to an increase in testicular temperature, and disturbance in the thermoregulatory systems that are responsible for the testicular heat loss. Coronavirus studies suggest that fever from SARS-CoV-2 virus infection induces a reversible negative effect on the sperm parameters until one cycle (74 days) of spermatogenesis. We believe that SARS-CoV-2 can have long-term adverse effects on testicles via immune or inflammatory reactions after the patient has fully recovered. This evidence could be added to the list of the long-term post-COVID-19 syndromes. Long-term follow-up and evaluation of the sperm parameters are necessary for all recovered male patients, especially the young ones.",Reproductive Sciences,2022,SUPPORT,CONTRADICT,SUPPORT,SUPPORT
234,NASA did not announce that climate change is only driven by variations to Earthâ€™s orbital position relative to the sun,"The National Aeronautical and Space Agency (NASA) did not announce that climate change is only driven by the Earthâ€™s orbital position around the sun, despite viral posts claiming this that have been shared by users in June 2022. Social media users revived an already debunked claim that the Milankovitch Cycles - Earthâ€™s slight shifting of position relative to the sun over geological time - can disprove anthropogenic climate change.",https://www.reuters.com/news/article/factcheck-nasa-climate/fact-check-nasa-did-not-announce-that-climate-change-is-only-driven-by-variations-to-earths-orbital-position-relative-to-the-sun-idUSL1N2YO23I,Space,7-Jul-22,TRUE,https://www.pnas.org/doi/10.1073/pnas.1717689115,Proterozoic Milankovitch cycles and the history of the solar system,Stephen R. Meyers and Alberto Malinverno,"The geologic record of Milankovitch climate cycles provides a rich conceptual and temporal framework for evaluating Earth system evolution, bestowing a sharp lens through which to view our planetâ€™s history. However, the utility of these cycles for constraining the early Earth system is hindered by seemingly insurmountable uncertainties in our knowledge of solar system behavior (including Earthâ€“Moon history), and poor temporal control for validation of cycle periods (e.g., from radioisotopic dates). Here we address these problems using a Bayesian inversion approach to quantitatively link astronomical theory with geologic observation, allowing a reconstruction of Proterozoic astronomical cycles, fundamental frequencies of the solar system, the precession constant, and the underlying geologic timescale, directly from stratigraphic data. Application of the approach to 1.4-billion-year-old rhythmites indicates a precession constant of 85.79 Â± 2.72 arcsec/year (2Ïƒ), an Earthâ€“Moon distance of 340,900 Â± 2,600 km (2Ïƒ), and length of day of 18.68 Â± 0.25 hours (2Ïƒ), with dominant climatic precession cycles of âˆ¼14 ky and eccentricity cycles of âˆ¼131 ky. The results confirm reduced tidal dissipation in the Proterozoic. A complementary analysis of Eocene rhythmites (âˆ¼55 Ma) illustrates how the approach offers a means to map out ancient solar system behavior and Earthâ€“Moon history using the geologic archive. The method also provides robust quantitative uncertainties on the eccentricity and climatic precession periods, and derived astronomical timescales. As a consequence, the temporal resolution of ancient Earth system processes is enhanced, and our knowledge of early solar system dynamics is greatly improved.",PNAS,2018,CONTRADICT,CONTRADICT,CONTRADICT,CONTRADICT
247,No evidence that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,"In a clip from â€˜What is a Woman?â€™, a documentary by right-wing commentator Matt Walsh, interviewee Sara Stockton, a family therapist based in New York, says schoolchildren are self-identifying as animals and disrupting classrooms.",https://www.reuters.com/news/article/factcheck-furries-school/fact-check-no-evidence-that-u-s-schoolchildren-are-self-identifying-as-animals-and-disrupting-classrooms-idUSL1N2YN1O2,Humans,6-Jul-22,FALSE,https://furscience.com/whats-a-furry/,Whatâ€™s a Furry?,Furscience,"The term furry describes a diverse community of fans, artists, writers, gamers, and role players. Most furries create for themselves an anthropomorphized animal character (fursona) with whom they identify and can function as an avatar within the community. Some furries wear elaborate costumes (called fursuits) or paraphernalia such as animal ears or tails, or represent themselves as anthropomorphic animals in online communities such as Second Life. Furry fandom is an inclusive term that describes the community of furries that span online, local, and international settings. The furry fandom is global, with hundreds of local groups existing worldwide and dozens of conventions held annually. A small subset of furries (~10%), called â€œtherians,â€ believe they are spiritually connected to animals, are less than (or more than) 100% human, are an animal trapped in a human body, or were an animal in a former life. Otherkin, like therians, feel spiritually connected to non-human species, but the species extend to mystical species, e.g., dragons, griffons, and minotaurs. More than 75% of furries are under the age of 25. Approximately 84% of furries identify as male, 13% female, and 2.5% are transgender. Furries are predominantly (83.2%) white. Approximately one-third identify as exclusively heterosexual; furries are about five times more likely to identify as exclusively homosexual than the general population. Nearly 60% of the furry fandom reports part-time or full-time enrollment in post-secondary education.",Furscience,2022,CONTRADICT,CONTRADICT,CONTRADICT,CONTRADICT
321,Meme comparing Swedish weather forecasts is misleading and does not prove climate change is a hoax,"Two weather forecasts from two different Swedish broadcasters, accompanied by inaccurate descriptions claiming they are from 36 years apart, are being shared online to spread the false narrative that climate change does not exist.",https://www.reuters.com/news/article/factcheck-meme-forecasts/fact-check-meme-comparing-swedish-weather-forecasts-is-misleading-and-does-not-prove-climate-change-is-a-hoax-idUSL1N2Y11HY,Environment,14-Jun-22,TRUE,https://on.doi.gov/3HkzdJ9,What is the difference between weather and climate change?,USGS,Weather refers to short term atmospheric conditions while climate is the weather of a specific region averaged over a long period of time. Climate change refers to long-term changes.,USGS,2021,CONTRADICT,CONTRADICT,CONTRADICT,CONTRADICT
